segment_id,wav_file,path,text
01012018_000,01012018_000.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_000.wav,﻿men beklaget i dagsrevyen
01012018_003,01012018_003.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_003.wav,﻿antek sentralstyret debatten
01012018_004,01012018_004.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_004.wav,﻿men partisekretæren vil ikke gå inn i detaljene for møtet
01012018_005,01012018_005.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_005.wav,﻿politisk kommentator magnus takvam hva tror du kommer ut av sentralstyremøtet til arbeiderpartiet med
01012018_008,01012018_008.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_008.wav,﻿lederen i fremskrittspartiet siv jensen nettopp tilbake fra juleferie og spent foran morgendagens regjeringsforhandlinger
01012018_009,01012018_009.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_009.wav,﻿etter et kort møte med pressen kl ti
01012018_010,01012018_010.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_010.wav,﻿jensen innrømmer at avstanden mellom fremskrittspartiet og venstres hjertesaker er stor
01012018_011,01012018_011.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_011.wav,﻿det er spenning mellom oss i
01012018_015,01012018_015.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_015.wav,﻿kjørte i motgående kjørefelt
01012018_017,01012018_017.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_017.wav,﻿de er to andre barna har lettere
01012018_018,01012018_018.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_018.wav,﻿ønsket å snakke om depresjoner selvskading og rus jeg familien
01012018_019,01012018_019.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_019.wav,﻿hjelpetelefonene til mental helse
01012018_020,01012018_020.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_020.wav,﻿blant mange tilbud for de som trenger noen å snakke med
01012018_021,01012018_021.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_021.wav,﻿et samfunn hvor vi skal ha
01012018_022,01012018_022.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_022.wav,﻿da være så vellykka at det er
01012018_024,01012018_024.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_024.wav,﻿tjue tusen barn under atten år
01012018_025,01012018_025.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_025.wav,﻿for å få hjelp til å løse sine følelsesmessig floker
01012018_030,01012018_030.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_030.wav,﻿fylte flere søppelsekker i frognerparken idag det samme skjedde i kristiansand tønsberg og på jessheim
01012018_032,01012018_032.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_032.wav,﻿prøver å skape 
01012018_033,01012018_033.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_033.wav,﻿samfunnsborgere som er tolerante fredsommelige og som
01012018_034,01012018_034.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_034.wav,﻿ønsker å gi 
01012018_036,01012018_036.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_036.wav,﻿til slutt en stille bønn og et innstendig nyttårsønske 
01012018_038,01012018_038.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_038.wav,﻿tente på fyrverkeriet selv 
01012018_039,01012018_039.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_039.wav,﻿inngangen til det nye året ble markert på mange forskjellige måter
01012018_040,01012018_040.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_040.wav,﻿i gater der is nylig hadde avmakt
01012018_042,01012018_042.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_042.wav,﻿moskovitter og turister kunne nyte det tradisjonelle fyrverkeriet over kremls kupler 
01012018_043,01012018_043.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_043.wav,﻿og ønske seg et bedre nytt år 
01012018_044,01012018_044.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_044.wav,﻿på besøk fra de østlie ukraina
01012018_045,01012018_045.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_045.wav,﻿under nyttårsmessen i st peterskirken anbefalte paven menneskeheten
01012018_046,01012018_046.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_046.wav,﻿bading i veldig kaldt vann er nyttårsglede from
01012018_050,01012018_050.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_050.wav,﻿den nest kaldeste som er målt siden midnatt 
01012018_051,01012018_051.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_051.wav,﻿de kom fra 
01012018_052,01012018_052.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_052.wav,﻿og fra mange andre land
01012018_053,01012018_053.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_053.wav,﻿brasilianerne kan Kunsten å feire 
01012018_054,01012018_054.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_054.wav,﻿og tidenes korrupsjonsskandale har preget Brasil 
01012018_055,01012018_055.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_055.wav,﻿og ekstra mange
01012018_056,01012018_056.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_056.wav,﻿men nyttårsaften på copacabana 
01012018_059,01012018_059.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_059.wav,﻿denne tretopphytte klar
01012018_060,01012018_060.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_060.wav,﻿åtte meter over bakken
01012018_062,01012018_062.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_062.wav,﻿pa i halden er den første tretopphytta i ferd med å bli ferdig åtte meter over bakken
01012018_066,01012018_066.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_066.wav,﻿skyldes den kvinnelige hovedkarakteren 
01012018_067,01012018_067.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_067.wav,﻿i tre sesonger har vi sett kriminaletterforsker saga norén løse mysterier sammen med ulike danske kollegaer 
01012018_074,01012018_074.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_074.wav,﻿men seieren kostet 
01012018_075,01012018_075.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_075.wav,﻿uvane ved å psyke seg
01012018_079,01012018_079.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_079.wav,﻿tar reisen slutt 
01012018_080,01012018_080.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Jan2018/01012018_080.wav,﻿for mye og ryker mot andre myhrer
01022018_001,01022018_001.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Feb2018/01022018_001.wav,﻿i myanmar er det avdekket ytterligere bevis på folkemord
01022018_005,01022018_005.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Feb2018/01022018_005.wav,﻿men det er enklere sagt enn gjort
01022018_009,01022018_009.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Feb2018/01022018_009.wav,﻿omtrent førti saker det er helt
01022018_012,01022018_012.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Feb2018/01022018_012.wav,﻿uavhengig av hva som skjer videre
01022018_018,01022018_018.wav,../localhome/datasets/NordTrans_TUL/NRK/NRK-Dagsrevyen/Feb2018/01022018_018.wav,﻿det er første gang hertuginne kate og prins william er sammen i norge på det som har blitt kalt en sjarmoffensiv fra et storbritannia på vei ut av
