segment_id,wav_file,path,text
20180410-1_000,20180410-1_000.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_000.wav,﻿finnmark har vi i hvert fall tre regioner
20180410-1_001,20180410-1_001.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_001.wav,﻿øst-finnmark indre finnmark og vest-finnmark
20180410-1_002,20180410-1_002.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_002.wav,﻿det er skulle ønske vi
20180410-1_003,20180410-1_003.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_003.wav,﻿kunne klare å skape innad i fylket 
20180410-1_005,20180410-1_005.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_005.wav,﻿innbyggere i troms er tromsø
20180410-1_006,20180410-1_006.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_006.wav,﻿et felles arbeidsområde vil ikke være mulig vi burde heller samle Finnmark 
20180410-1_007,20180410-1_007.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_007.wav,﻿med bedre flytilbud
20180410-1_008,20180410-1_008.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_008.wav,﻿hvordan mener statsråden at det vil bli bedre for oss i finnmark om vi slår oss sammen
20180410-1_009,20180410-1_009.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_009.wav,﻿nærhet mellom fylkeskommune og fylkesmannens administrasjon gir større faglig slagkraft enn
20180410-1_011,20180410-1_011.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_011.wav,﻿finnmarks sårbarhet når det gjelder overføring av fiskerirettigheter ut av fylket 
20180410-1_013,20180410-1_013.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_013.wav,﻿av slike rettigheter kvoter fra finnmark til troms og nordland
20180410-1_014,20180410-1_014.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_014.wav,﻿er allerede i dag et voksende problem 
20180410-1_015,20180410-1_015.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_015.wav,﻿uten et politisk organ i Finnmark 
20180410-1_016,20180410-1_016.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_016.wav,﻿faktisk også mot interesser i troms 
20180410-1_017,20180410-1_017.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_017.wav,﻿mer vanskeligere å hevde finnmarks fiskeribefolknings interesser
20180410-1_018,20180410-1_018.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_018.wav,﻿vil vanskeliggjøre demokratiske prosesser 
20180410-1_019,20180410-1_019.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_019.wav,﻿politiske partier vil det bli mer problematisk å bygge på lokal kunnskap og gjøre gjøre denne
20180410-1_020,20180410-1_020.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_020.wav,﻿at Politikerne i tillegg 
20180410-1_021,20180410-1_021.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_021.wav,﻿å lære seg å forholde seg både til vadsø
20180410-1_022,20180410-1_022.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_022.wav,﻿spørsmål om reindrift og til tromsø i spørsmål om videregående opplæring
20180410-1_023,20180410-1_023.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_023.wav,﻿det vil bli tydeligere tendenser til 
20180410-1_024,20180410-1_024.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_024.wav,﻿noe som kan undergrave 
20180410-1_025,20180410-1_025.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_025.wav,﻿regionnivåets oppslutning og 
20180410-1_026,20180410-1_026.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_026.wav,﻿legitimitet på sikt 
20180410-1_027,20180410-1_027.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_027.wav,﻿i høy grad utviklet i finnmark
20180410-1_028,20180410-1_028.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_028.wav,﻿sannsynligvis som en følge av
20180410-1_029,20180410-1_029.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_029.wav,﻿med grense mot murmansk
20180410-1_030,20180410-1_030.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_030.wav,﻿dagliglivet og meningsdannelsen i Finnmark særlig i øst-finnmark preges av 
20180410-1_032,20180410-1_032.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_032.wav,﻿norges største fylke i utstrakt
20180410-1_033,20180410-1_033.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_033.wav,﻿å holde arealmessig oversikt og vedlikeholde slik kunnskap det dreier seg om sjøområder
20180410-1_034,20180410-1_034.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_034.wav,﻿av vital betydning for norsk fiskerinæring og landområder av avgjørende betydning for videreutvikling av samiske næringsveier og tradisjoner 
20180410-1_035,20180410-1_035.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_035.wav,﻿arealmessig et stort fylke 
20180410-1_036,20180410-1_036.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_036.wav,﻿og en sammenslåing vil ikke styrke muligheten til å følge
20180410-1_037,20180410-1_037.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_037.wav,﻿til å holde en faglig basert
20180410-1_038,20180410-1_038.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_038.wav,﻿folkevalgte organer i Finnmark ønsker ikke sammenslåing verken kommuner 
20180410-1_039,20180410-1_039.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_039.wav,﻿fylkeskommunen har stilt seg bak
20180410-1_040,20180410-1_040.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_040.wav,﻿dette på tross
20180410-1_041,20180410-1_041.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_041.wav,﻿av et betydelig press fra staten
20180410-1_042,20180410-1_042.wav,../localhome/datasets/NordTrans_TUL/Stortinget/CUT1/20180410-1_042.wav,﻿nabosamtaler og en omfattende diskusjon med bred deltakelse
