,wav_file,path,source,text,segment_id
0,20180117-2_245.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180117-2_245.wav,Stortinget,ikke følger regelverket ,Stortinget_20180117-2_245
1,022218_010.wav,../../datasets/NordTrans_TUL/train_small/NRK/022218_010.wav,NRK,den teknologien som skal redde oss ,NRK_022218_010
2,20180410-3_075.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180410-3_075.wav,Stortinget,justiskomiteens flertall har fremmet forslag ,Stortinget_20180410-3_075
3,20180502-6_213.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180502-6_213.wav,Stortinget,eventuelt midlertidige lokaler ,Stortinget_20180502-6_213
4,08052018_122.wav,../../datasets/NordTrans_TUL/train_small/NRK/08052018_122.wav,NRK,for å diskutere hvordan de skal bygge opp tilliten igjen,NRK_08052018_122
5,N2_060320_NRK_D17_NO_254.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060320_NRK_D17_NO_254.wav,Rundkast, i nitten åttifem ble arne treholt dømt til tjue års fengsel for spionasje til fordel for sovjetunionen og irak ,Rundkast_N2_060320_NRK_D17_NO_254
6,N2_050318_NRK_HON_NO_151.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050318_NRK_HON_NO_151.wav,Rundkast, og så må vi gå igjennom dokumentasjonen ,Rundkast_N2_050318_NRK_HON_NO_151
7,020217_066.wav,../../datasets/NordTrans_TUL/train_small/NRK/020217_066.wav,NRK,sette opp mot hinder ,NRK_020217_066
8,N2_060616_NRK_D18_NO_311.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060616_NRK_D18_NO_311.wav,Rundkast, og jeg har sagt før og jeg kan godt gjenta at i p ,Rundkast_N2_060616_NRK_D18_NO_311
9,N2_050611_NRK_UKS_NO_19.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050611_NRK_UKS_NO_19.wav,Rundkast, det norske selskapet er hyret inn for å gi opplæring og rådgiving ,Rundkast_N2_050611_NRK_UKS_NO_19
10,14052018-1_024.wav,../../datasets/NordTrans_TUL/train_small/NRK/14052018-1_024.wav,NRK,la da vil vi bidra til å helle enda mer det bensin på bålet og norge vil for igjen vi alltid miste en varm mulighet til å delta i en fredsprosess,NRK_14052018-1_024
11,N2_021003_NRK_HON_NO_544.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_021003_NRK_HON_NO_544.wav,Rundkast, tillitsvalgt brit østby fredriksen kunne fortelle,Rundkast_N2_021003_NRK_HON_NO_544
12,20180321-2_196.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180321-2_196.wav,Stortinget,enn mange barn ,Stortinget_20180321-2_196
13,N2_030220_NRK_HON_NO_173.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_030220_NRK_HON_NO_173.wav,Rundkast, nei  jeg velger å stole på advokaten der jeg tror at ,Rundkast_N2_030220_NRK_HON_NO_173
14,20180509-2_247.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180509-2_247.wav,Stortinget,hvordan behandlingen skal ,Stortinget_20180509-2_247
15,N2_050615_NRK_D18_NO_153.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050615_NRK_D18_NO_153.wav,Rundkast,med det som heter landbruk pluss ,Rundkast_N2_050615_NRK_D18_NO_153
16,20180424-5_152.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180424-5_152.wav,Stortinget,rammer som følger verdensarvstatusen,Stortinget_20180424-5_152
17,08242017_192.wav,../../datasets/NordTrans_TUL/train_small/NRK/08242017_192.wav,NRK,hun mener det kan beskytte nordmenn ,NRK_08242017_192
